,Subdomain,Type,URL
0,akademik.itpln.ac.id,🎓 Academic,https://akademik.itpln.ac.id
1,baa.itpln.ac.id,📄 Other,https://baa.itpln.ac.id
2,bku.itpln.ac.id,📄 Other,https://bku.itpln.ac.id
3,cocoba.itpln.ac.id,📄 Other,https://cocoba.itpln.ac.id
4,dasker.itpln.ac.id,📄 Other,https://dasker.itpln.ac.id
5,diesnat24.itpln.ac.id,📄 Other,https://diesnat24.itpln.ac.id
6,dosen.itpln.ac.id,📄 Other,https://dosen.itpln.ac.id
7,drt.itpln.ac.id,📄 Other,https://drt.itpln.ac.id
8,ebook.itpln.ac.id,📄 Other,https://ebook.itpln.ac.id
9,edms.itpln.ac.id,📄 Other,https://edms.itpln.ac.id
10,erc.itpln.ac.id,📄 Other,https://erc.itpln.ac.id
11,fket.itpln.ac.id,📄 Other,https://fket.itpln.ac.id
12,ften.itpln.ac.id,🏛️ Faculty,https://ften.itpln.ac.id
13,ftik.itpln.ac.id,🏛️ Faculty,https://ftik.itpln.ac.id
14,gemastik14.itpln.ac.id,📄 Other,https://gemastik14.itpln.ac.id
15,hybrid.itpln.ac.id,📄 Other,https://hybrid.itpln.ac.id
16,icatei.itpln.ac.id,📄 Other,https://icatei.itpln.ac.id
17,inikami.itpln.ac.id,📄 Other,https://inikami.itpln.ac.id
18,itcc.itpln.ac.id,📄 Other,https://itcc.itpln.ac.id
19,itpln.ac.id,🌐 Main/Portal,https://itpln.ac.id
20,jojoba.itpln.ac.id,📄 Other,https://jojoba.itpln.ac.id
21,jurnal.itpln.ac.id,📚 Library/Repository,https://jurnal.itpln.ac.id
22,kuliah.itpln.ac.id,💻 E-Learning,https://kuliah.itpln.ac.id
23,ldc.itpln.ac.id,📄 Other,https://ldc.itpln.ac.id
24,library.itpln.ac.id,📚 Library/Repository,https://library.itpln.ac.id
25,lppm.itpln.ac.id,🔬 Research,https://lppm.itpln.ac.id
26,mikrotik.itpln.ac.id,📄 Other,https://mikrotik.itpln.ac.id
27,pjm.itpln.ac.id,📄 Other,https://pjm.itpln.ac.id
28,repo.itpln.ac.id,📄 Other,https://repo.itpln.ac.id
29,repository.itpln.ac.id,📚 Library/Repository,https://repository.itpln.ac.id
30,sdgs.itpln.ac.id,📄 Other,https://sdgs.itpln.ac.id
31,sentraki.itpln.ac.id,📄 Other,https://sentraki.itpln.ac.id
32,sikap.itpln.ac.id,📄 Other,https://sikap.itpln.ac.id
33,simpelmas.itpln.ac.id,📄 Other,https://simpelmas.itpln.ac.id
34,sipesat.itpln.ac.id,📄 Other,https://sipesat.itpln.ac.id
35,snekti.itpln.ac.id,📄 Other,https://snekti.itpln.ac.id
36,spada.itpln.ac.id,📄 Other,https://spada.itpln.ac.id
37,student.itpln.ac.id,👨‍🎓 Student Services,https://student.itpln.ac.id
38,support.itpln.ac.id,📄 Other,https://support.itpln.ac.id
39,tamu.itpln.ac.id,📄 Other,https://tamu.itpln.ac.id
40,technopark.itpln.ac.id,📄 Other,https://technopark.itpln.ac.id
41,vidi.itpln.ac.id,📄 Other,https://vidi.itpln.ac.id
42,www.itpln.ac.id,🌐 Main/Portal,https://www.itpln.ac.id
